Date	Price
31.12.2021	359.32
30.12.2021	360.99
29.12.2021	361.29
28.12.2021	360.78
27.12.2021	360.31
23.12.2021	360.58
22.12.2021	357.48
21.12.2021	350.74
20.12.2021	337.02
17.12.2021	349.31
16.12.2021	352.92
15.12.2021	346.35
14.12.2021	340.55
13.12.2021	345.31
10.12.2021	349.92
09.12.2021	344.52
08.12.2021	342.34
07.12.2021	339.51
06.12.2021	333.33
03.12.2021	322.11
02.12.2021	320.20
01.12.2021	306.28
30.11.2021	314.92
29.11.2021	323.01
26.11.2021	324.17
24.11.2021	340.00
23.11.2021	329.00
22.11.2021	321.30
19.11.2021	339.72
18.11.2021	348.22
17.11.2021	359.17
16.11.2021	369.56
15.11.2021	361.36
12.11.2021	363.50
11.11.2021	354.34
10.11.2021	357.94
09.11.2021	344.65
08.11.2021	349.67
05.11.2021	348.79
04.11.2021	335.43
03.11.2021	329.43
02.11.2021	328.48
01.11.2021	334.05
29.10.2021	335.52
28.10.2021	333.03
27.10.2021	335.72
26.10.2021	357.32
25.10.2021	360.86
22.10.2021	358.67
21.10.2021	356.21
20.10.2021	356.77
19.10.2021	362.10
18.10.2021	358.44
15.10.2021	356.00
14.10.2021	344.58
13.10.2021	342.35
12.10.2021	345.34
11.10.2021	347.15
08.10.2021	354.96
07.10.2021	353.91
06.10.2021	348.69
05.10.2021	343.21
04.10.2021	344.20
01.10.2021	360.18
30.09.2021	347.68
29.09.2021	353.19
28.09.2021	351.18
27.09.2021	356.77
24.09.2021	358.16
23.09.2021	354.07
22.09.2021	343.41
21.09.2021	337.38
20.09.2021	339.69
17.09.2021	343.04
16.09.2021	346.31
15.09.2021	344.75
14.09.2021	345.80
13.09.2021	347.82
10.09.2021	347.39
09.09.2021	351.41
08.09.2021	351.04
07.09.2021	344.71
03.09.2021	340.23
02.09.2021	341.28
01.09.2021	349.57
31.08.2021	346.23
30.08.2021	353.05
27.08.2021	355.73
26.08.2021	352.86
25.08.2021	359.10
24.08.2021	361.78
23.08.2021	361.01
20.08.2021	354.99
19.08.2021	357.31
18.08.2021	360.95
17.08.2021	363.23
16.08.2021	363.56
13.08.2021	362.75
12.08.2021	361.98
11.08.2021	364.24
10.08.2021	367.84
09.08.2021	370.68
06.08.2021	374.53
05.08.2021	371.94
04.08.2021	368.01
03.08.2021	367.60
02.08.2021	375.26
30.07.2021	385.94
29.07.2021	388.81
28.07.2021	383.44
27.07.2021	390.27
26.07.2021	392.80
23.07.2021	393.26
22.07.2021	382.16
21.07.2021	380.06
20.07.2021	374.39
19.07.2021	365.45
16.07.2021	387.12
15.07.2021	390.23
14.07.2021	390.80
13.07.2021	383.71
12.07.2021	375.56
09.07.2021	372.94
08.07.2021	370.19
07.07.2021	373.92
06.07.2021	376.12
02.07.2021	375.03
01.07.2021	370.71
30.06.2021	365.09
29.06.2021	368.00
28.06.2021	367.68
25.06.2021	379.61
24.06.2021	374.75
23.06.2021	375.14
22.06.2021	378.04
21.06.2021	373.09
18.06.2021	367.42
17.06.2021	367.29
16.06.2021	363.82
15.06.2021	368.12
14.06.2021	366.52
11.06.2021	365.50
10.06.2021	364.30
09.06.2021	363.33
08.06.2021	365.26
07.06.2021	364.08
04.06.2021	366.02
03.06.2021	361.82
02.06.2021	366.85
01.06.2021	359.79
28.05.2021	360.58
27.05.2021	362.00
26.05.2021	362.65
25.05.2021	367.22
24.05.2021	372.38
21.05.2021	367.60
20.05.2021	367.70
19.05.2021	360.98
18.05.2021	363.07
17.05.2021	363.30
14.05.2021	363.91
13.05.2021	360.02
12.05.2021	356.62
11.05.2021	367.61
10.05.2021	366.34
07.05.2021	375.40
06.05.2021	375.48
05.05.2021	369.14
04.05.2021	375.91
03.05.2021	379.40
30.04.2021	382.06
29.04.2021	388.95
28.04.2021	395.65
27.04.2021	389.07
26.04.2021	387.47
23.04.2021	387.06
22.04.2021	383.36
21.04.2021	383.10
20.04.2021	376.63
19.04.2021	382.16
16.04.2021	386.17
15.04.2021	386.49
14.04.2021	378.32
13.04.2021	378.13
12.04.2021	379.84
09.04.2021	380.08
08.04.2021	377.74
07.04.2021	371.08
06.04.2021	369.57
05.04.2021	368.32
01.04.2021	363.30
31.03.2021	356.05
30.03.2021	358.20
29.03.2021	362.91
26.03.2021	366.14
25.03.2021	358.36
24.03.2021	359.65
23.03.2021	355.27
22.03.2021	358.40
19.03.2021	356.51
18.03.2021	367.00
17.03.2021	378.68
16.03.2021	382.38
15.03.2021	381.76
12.03.2021	382.71
11.03.2021	384.38
10.03.2021	381.70
09.03.2021	376.52
08.03.2021	371.33
05.03.2021	360.88
04.03.2021	349.50
03.03.2021	360.25
02.03.2021	362.82
01.03.2021	362.90
26.02.2021	353.85
25.02.2021	354.57
24.02.2021	367.32
23.02.2021	350.42
22.02.2021	340.66
19.02.2021	333.17
18.02.2021	338.46
17.02.2021	337.33
16.02.2021	341.21
12.02.2021	341.00
11.02.2021	342.87
10.02.2021	334.21
09.02.2021	333.44
08.02.2021	337.03
05.02.2021	338.75
04.02.2021	340.83
03.02.2021	332.82
02.02.2021	334.37
01.02.2021	321.56
29.01.2021	316.29
28.01.2021	324.28
27.01.2021	315.49
26.01.2021	327.70
25.01.2021	329.19
22.01.2021	328.99
21.01.2021	334.44
20.01.2021	334.91
19.01.2021	325.94
15.01.2021	323.26
14.01.2021	326.93
13.01.2021	346.33
12.01.2021	342.92
11.01.2021	348.20
08.01.2021	353.85
07.01.2021	349.86
06.01.2021	347.55
05.01.2021	347.42
04.01.2021	351.49
