Date	Price
31.12.2021	216.71
30.12.2021	217.87
29.12.2021	218.17
28.12.2021	218.05
27.12.2021	217.63
23.12.2021	216.62
22.12.2021	217.96
21.12.2021	215.38
20.12.2021	208.74
17.12.2021	211.88
16.12.2021	214.37
15.12.2021	212.31
14.12.2021	209.98
13.12.2021	211.02
10.12.2021	213.40
09.12.2021	211.39
08.12.2021	208.99
07.12.2021	207.37
06.12.2021	202.68
03.12.2021	196.32
02.12.2021	198.29
01.12.2021	190.16
30.11.2021	193.77
29.11.2021	196.29
26.11.2021	197.65
24.11.2021	203.25
23.11.2021	198.49
22.11.2021	195.58
19.11.2021	200.86
18.11.2021	203.33
17.11.2021	205.06
16.11.2021	215.18
15.11.2021	212.30
12.11.2021	212.09
11.11.2021	210.42
10.11.2021	215.56
09.11.2021	213.39
08.11.2021	220.49
05.11.2021	216.67
04.11.2021	208.78
03.11.2021	208.10
02.11.2021	209.14
01.11.2021	212.46
29.10.2021	211.77
28.10.2021	209.84
27.10.2021	215.78
26.10.2021	231.82
25.10.2021	233.88
22.10.2021	231.23
21.10.2021	230.24
20.10.2021	231.42
19.10.2021	233.52
18.10.2021	230.65
15.10.2021	230.99
14.10.2021	225.18
13.10.2021	222.46
12.10.2021	224.05
11.10.2021	225.11
08.10.2021	230.27
07.10.2021	230.55
06.10.2021	226.51
05.10.2021	224.28
04.10.2021	224.73
01.10.2021	230.46
30.09.2021	222.75
29.09.2021	226.68
28.09.2021	225.56
27.09.2021	229.60
24.09.2021	231.59
23.09.2021	228.31
22.09.2021	222.75
21.09.2021	220.17
20.09.2021	220.05
17.09.2021	221.75
16.09.2021	224.33
15.09.2021	223.81
14.09.2021	223.03
13.09.2021	224.63
10.09.2021	224.91
09.09.2021	227.49
08.09.2021	229.09
07.09.2021	226.27
03.09.2021	225.11
02.09.2021	224.18
01.09.2021	230.12
31.08.2021	229.10
30.08.2021	231.23
27.08.2021	232.69
26.08.2021	230.52
25.08.2021	232.59
24.08.2021	234.24
23.08.2021	234.14
20.08.2021	231.36
19.08.2021	231.57
18.08.2021	231.63
17.08.2021	234.53
16.08.2021	235.36
13.08.2021	232.65
12.08.2021	231.79
11.08.2021	235.06
10.08.2021	238.07
09.08.2021	240.00
06.08.2021	241.40
05.08.2021	240.21
04.08.2021	236.67
03.08.2021	237.09
02.08.2021	239.78
30.07.2021	246.39
29.07.2021	247.92
28.07.2021	246.94
27.07.2021	250.93
26.07.2021	250.25
23.07.2021	249.02
22.07.2021	244.14
21.07.2021	243.66
20.07.2021	242.70
19.07.2021	240.41
16.07.2021	248.12
15.07.2021	248.55
14.07.2021	245.99
13.07.2021	242.35
12.07.2021	237.87
09.07.2021	238.47
08.07.2021	236.61
07.07.2021	240.00
06.07.2021	239.60
02.07.2021	238.63
01.07.2021	235.15
30.06.2021	233.82
29.06.2021	235.95
28.06.2021	234.09
25.06.2021	237.32
24.06.2021	236.24
23.06.2021	234.68
22.06.2021	235.93
21.06.2021	234.32
18.06.2021	230.41
17.06.2021	232.15
16.06.2021	229.60
15.06.2021	232.98
14.06.2021	234.08
11.06.2021	234.96
10.06.2021	233.95
09.06.2021	232.31
08.06.2021	232.05
07.06.2021	231.32
04.06.2021	230.14
03.06.2021	228.11
02.06.2021	229.66
01.06.2021	226.63
28.05.2021	227.30
27.05.2021	226.86
26.05.2021	227.07
25.05.2021	229.02
24.05.2021	229.32
21.05.2021	226.77
20.05.2021	226.44
19.05.2021	224.59
18.05.2021	225.57
17.05.2021	226.44
14.05.2021	226.94
13.05.2021	223.74
12.05.2021	220.63
11.05.2021	225.48
10.05.2021	225.97
07.05.2021	232.12
06.05.2021	231.32
05.05.2021	229.21
04.05.2021	232.03
03.05.2021	232.61
30.04.2021	233.56
29.04.2021	236.86
28.04.2021	233.45
27.04.2021	229.91
26.04.2021	230.34
23.04.2021	230.00
22.04.2021	227.57
21.04.2021	227.45
20.04.2021	223.28
19.04.2021	225.79
16.04.2021	226.41
15.04.2021	226.28
14.04.2021	221.98
13.04.2021	221.02
12.04.2021	221.47
09.04.2021	222.52
08.04.2021	220.70
07.04.2021	219.27
06.04.2021	218.65
05.04.2021	219.04
01.04.2021	216.86
31.03.2021	211.73
30.03.2021	211.90
29.03.2021	214.51
26.03.2021	213.53
25.03.2021	207.97
24.03.2021	208.07
23.03.2021	208.15
22.03.2021	208.00
19.03.2021	206.90
18.03.2021	220.66
17.03.2021	223.02
16.03.2021	224.70
15.03.2021	223.27
12.03.2021	224.36
11.03.2021	226.15
10.03.2021	223.17
09.03.2021	220.36
08.03.2021	220.27
05.03.2021	215.41
04.03.2021	211.50
03.03.2021	214.85
02.03.2021	215.77
01.03.2021	216.63
26.02.2021	212.39
25.02.2021	213.75
24.02.2021	219.43
23.02.2021	212.11
22.02.2021	208.32
19.02.2021	204.73
18.02.2021	209.35
17.02.2021	207.51
16.02.2021	207.90
12.02.2021	209.96
11.02.2021	210.66
10.02.2021	206.44
09.02.2021	206.52
08.02.2021	206.89
05.02.2021	208.77
04.02.2021	209.25
03.02.2021	201.36
02.02.2021	202.61
01.02.2021	198.36
29.01.2021	193.25
28.01.2021	198.22
27.01.2021	194.97
26.01.2021	202.01
25.01.2021	200.98
22.01.2021	202.02
21.01.2021	205.14
20.01.2021	206.01
19.01.2021	201.66
15.01.2021	201.59
14.01.2021	201.86
13.01.2021	209.35
12.01.2021	208.86
11.01.2021	212.89
08.01.2021	215.45
07.01.2021	213.81
06.01.2021	212.62
05.01.2021	214.51
04.01.2021	217.76
